GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JAXBDeseliarization,com.jaxb.exceptions,ParseException,0,4,0,0,0,1,0,1,0,1
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.DesgloseOperacion.PeriodoCesion,24,0,0,0,10,0,7,0,7,0
JAXBDeseliarization,com.jaxb.POJOs,RespuestaDeclaracionType,5,13,1,1,1,5,1,3,0,3
JAXBDeseliarization,com.jaxb.POJOs,DatosPresentacionType,17,0,0,0,7,0,5,0,5,0
JAXBDeseliarization,com.jaxb.POJOs,CountryType2,2460,0,0,0,248,0,3,0,3,0
JAXBDeseliarization,com.jaxb.POJOs,ObjectFactory,118,0,0,0,29,0,28,0,28,0
JAXBDeseliarization,com.jaxb.POJOs,ClaveType,30,0,0,0,5,0,3,0,3,0
JAXBDeseliarization,com.jaxb.POJOs,DatosPresentacion2Type,24,0,0,0,10,0,7,0,7,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.IDCesionario,31,0,0,0,13,0,9,0,9,0
JAXBDeseliarization,com.jaxb.POJOs,EstadoRegistroType,31,45,4,0,5,7,4,2,2,2
JAXBDeseliarization,com.jaxb.POJOs,CabeceraDI.IDDeclarante,20,11,0,0,8,5,6,3,6,3
JAXBDeseliarization,com.jaxb.POJOs,Detail,3,7,0,0,1,3,1,2,1,2
JAXBDeseliarization,com.jaxb.POJOs,EstadoRegistroDDIIType,65,0,4,0,11,0,6,0,4,0
JAXBDeseliarization,com.jaxb.POJOs,CabeceraDI,15,23,0,0,5,11,5,6,5,6
JAXBDeseliarization,com.jaxb.POJOs,PersonaFisicaJuridicaType,31,0,0,0,13,0,9,0,9,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType2,10,0,0,0,4,0,3,0,3,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.DesgloseOperacion,31,0,0,0,13,0,9,0,9,0
JAXBDeseliarization,com.jaxb.POJOs,IDOtroType,24,0,0,0,10,0,7,0,7,0
JAXBDeseliarization,com.jaxb.POJOs,PersonaFisicaJuridicaUnicaESType,17,0,0,0,7,0,5,0,5,0
JAXBDeseliarization,com.jaxb.POJOs,Fault,6,18,0,0,2,8,2,5,2,5
JAXBDeseliarization,com.jaxb.POJOs,TipoNumeracionType,87,0,4,0,13,0,6,0,4,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.IDInmueble,17,0,0,0,7,0,5,0,5,0
JAXBDeseliarization,com.jaxb.POJOs,ErrorEnvioType,87,0,4,0,13,0,6,0,4,0
JAXBDeseliarization,com.jaxb.POJOs,MacrodatoType,30,0,0,0,5,0,3,0,3,0
JAXBDeseliarization,com.jaxb.POJOs,EstadoEnvioType,28,48,4,0,4,8,3,3,1,3
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.IDInmueble.DatosInmueble.Direccion,101,0,0,0,43,0,29,0,29,0
JAXBDeseliarization,com.jaxb.POJOs,PersonaFisicaJuridicaESType,24,0,0,0,10,0,7,0,7,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.IDInmueble.DatosInmueble,17,0,0,0,7,0,5,0,5,0
JAXBDeseliarization,com.jaxb.POJOs,RespuestaComunAltaType,14,17,0,0,6,7,4,5,4,5
JAXBDeseliarization,com.jaxb.POJOs,RespuestaOperacionesType,16,22,0,0,6,10,5,6,5,6
JAXBDeseliarization,com.jaxb.POJOs,CabeceraDI.Periodo,6,11,0,0,2,5,2,3,2,3
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.IDDeclarado,38,0,0,0,16,0,11,0,11,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaracionInformativa,21,0,2,0,7,0,5,0,4,0
JAXBDeseliarization,com.jaxb.POJOs,Header,30,3,6,0,0,1,7,1,4,1
JAXBDeseliarization,com.jaxb.POJOs,CountryMiembroType,280,0,0,0,30,0,3,0,3,0
JAXBDeseliarization,com.jaxb.POJOs,ClaveTipoComunicacionType,31,34,4,0,5,6,4,2,2,2
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType,28,0,2,0,10,0,7,0,6,0
JAXBDeseliarization,com.jaxb.POJOs,Body,150,19,29,1,4,6,21,5,6,5
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle.DesgloseOperacion.MedioPago,17,0,0,0,7,0,5,0,5,0
JAXBDeseliarization,com.jaxb.POJOs,Envelope,112,14,22,0,1,6,16,4,5,4
JAXBDeseliarization,com.jaxb.POJOs,CabeceraDI.IDDeclarante.PersonaContacto,17,0,0,0,7,0,5,0,5,0
JAXBDeseliarization,com.jaxb.POJOs,DeclaradoType.Detalle,28,0,2,0,10,0,7,0,6,0
JAXBDeseliarization,com.jaxb.services,MainService,6,161,1,19,2,49,1,19,0,10
JAXBDeseliarization,com.jaxb.services,ParseService,0,124,0,4,0,32,0,7,0,5
JAXBDeseliarization,com.jaxb,Errors,3,26,0,2,1,5,1,3,1,2
JAXBDeseliarization,com.jaxb,Main,26,0,0,0,10,0,3,0,3,0
JAXBDeseliarization,com.jaxb,Errors.new HashMap() {...},0,351,0,0,0,60,0,1,0,1
